,course,Link,Introduction,Address,Contact,Duration,Fee,uni_name,Fac_link
214,Bachelor of Computer Science (Computer Networks and Security) with Honours,https://engineering.utm.my/computing/secr/,"
The Bachelor of Computer Science (Computer Networks & Security) is offered either on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.<br/>
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.
","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
215,Bachelor of Computer Science (Graphics and Multimedia Software) with Honours,https://engineering.utm.my/computing/secv/,"The Bachelor of Computer Science (Graphics and Multimedia Software) is offered on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.<br/>
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.<br/>
 
","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
216,Bachelor of Computer Science (Data Engineering) with Honours,https://engineering.utm.my/computing/secp/,"The Bachelor of Computer Science (Data Engineering) is offered on a full-time basis. The full-time programme is offered only at the UTM Main Campus in Johor Bahru. The duration of study for the full-time programme is subjected to the student’s entry qualifications and lasts between four (4) years to a maximum of six (6) years.<br/>
The programme is offered on full-time basis and is based on a 2-Semester per academic session. Generally, students are expected to undertake courses equivalent to between fourteen (14) to eighteen (18) credit hours per semester. Assessment is based on courseworks and final examinations given throughout the semester.<br/>","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
217,Bachelor of Electronic Engineering with Honours,https://engineering.utm.my/electrical/undergraduate/bachelor-of-engineering-electrical-electronics-skel/,"A rapid development in electronics, computer and telecommunication industry is one of the major contributors to the Malaysian economy.  Rapid development has enabled the electronic, computer and telecommunication industry to flourish. This means that more and more competent electronic graduates are required, to meet the growing demand of skilled manpower. The requirements towards professionals in this field, is gradually intensifying and it is predicted that the need will be continued in the next few years.
Electronic Engineering is a vast area of studies and is gradually expanding. Graduates undertaking this program will face a demanding professional career ahead. Various courses are being offered within the program with the intention of preparing graduates with sufficient knowledge in electronic field.
 




Bachelor of Electronics Engineering with Honours offered by School of Electrical Engineering is accredited and recognized by the Board of Engineers Malaysia (BEM). Graduates from the Bachelor of Electronics Engineering with Honours may apply to to register with the Board of Engineers Malaysia, as graduate engineer in the engineering field as shown in table below.

 
Program Registered
Choice of Concentration
Degree Awarded
Field of Registration with BEM
Bachelor of Electronics Engineering with Honours – [SEEL]UPU Code – TK02NEC Code – 523
Electronic System DesignMicroelectronicMedical ElectronicComputer EngineeringTelecommunication Engineering
Bachelor of Electronics Engineering with Honours
Electronic Engineering
 
  Bachelor of Electronics Engineering with Honours offered by School of Electrical Engineering is accredited and recognized by the Board of Engineers Malaysia (BEM). Graduates from the Bachelor of Electronics Engineering with Honours may apply to to register with the Board of Engineers Malaysia, as graduate engineer in the engineering field as shown in table below.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
218,Bachelor of Electrical Engineering with Honours,https://engineering.utm.my/electrical/undergraduate/bachelor-of-engineering-electrical-skee/," The Bachelor of Electrical Engineering with Honours programme (codenamed SEEEH), formerly called the Bachelor of Engineering (Electrical) programme (codenamed SEEE or SKEE), is one of the undergraduate programmes offered by the School of Electrical Engineering to prepare graduates for positions as electrical engineers. The SEEEH/SEEE/SKEE programme has been designed to emphasise not only on the understanding and acquisition of basic principles and skills in the field of electrical engineering, but also on a wide range of subareas including electronics, control systems, instrumentation, signal processing, telecommunications and power systems. Students of the Bachelor of Electrical Engineering with Honours programme are expected to have the following outcomes:1. Ability to apply knowledge of mathematics, science, and electrical engineering to the solution of complex engineering problems.2. Ability to conduct experiments and researches, perform analysis and interpret data for complex engineering problems.3. Ability to identify, formulate, investigate and synthesis of information to solve complex engineering problems.4. Ability to use appropriate techniques, skills, and modern engineering tools, instrumentation, software and hardware necessary for complex engineering practice with an understanding of their limitations.5. Ability to design solutions for complex system, component, or process within a defined specification that meet specified needs with appropriate consideration for public health and safety, cultural, societal, and environmental considerations.6. Ability to articulate ideas, communicate effectively, in writing and verbally, on complex engineering activities with the engineering community and with society at large.7. Ability to function effectively as an individual, and as a member or leader in diverse teams.8. Ability to recognise the need for, and have the preparation and ability to engage in independent and lifelong learning in the broadest context of technological change.9. Ability to analyse the impact of global and contemporary issues, the role of engineers in society, including, health, safety, legal and cultural issues and the consequent responsibilities relevant to professional engineering.10. Ability to understand the impact of professional engineering solutions to societal and environmental contexts and demonstrate knowledge of and need for sustainable development.11. Ability to execute responsibility professionally and ethically.12. Ability to demonstrate knowledge and understanding of engineering and management principles to manage projects in multidisciplinary environments. The 2021/2022 curriculum for the Bachelor of Electrical Engineering with Honours programme is as follows. The subjects for the Field Electives depend on the student’s choice of specialisation from either Power Engineering, Control and Instrumentation Engineering, Electronic Engineering, or Communication Engineering. More details can be found in the 2021/2022 undergraduate handbook of the School of Electrical Engineering here. A student must pass all courses specified in his/her programme of study and fulfill all the requirements specified for his/herprogramme of study set by the Faculty and University in order to be awarded with the Bachelor degree. Generally, graduates with the Bachelor of Electrical Engineering with Honours degree may find many exciting opportunities in electricalrelated industries. These include:• Communication equipment and network providers (Telekom Malaysia, CELCOM, MAXIS, Media Prima, etc.)• Computers and peripheral device manufacturers (Intel, Agilent, IBM, etc.)• Consulting engineer firms• Education and training institutions (Universities, Polytechnics and Colleges)• Electric energy production companies (Tenaga Nasional Berhad and IPPs)• Manufacturing of component and equipment companies (Panasonic, Flextronics, ON Semiconductor, etc.)• Power equipment manufacturers• Research and design organisations (SIRIM, MIMOS, Universities, TNB, etc.)• Semiconductor chip designers and manufacturers (Texas Instruments, Intel, Motorola, etc.)• Automotive manufacturer and assembly firms• Biomedical engineering firms• Consultation firms• Electronic equipment’s production industries• Engineering and product development firms• Food processing factories• High-technology based firm such as aerospace• Home appliances (such as washing machines, TV, radio, rice cooker, etc.) manufacturing firms• Oil and gas companies• Research and design organisations (SIRIM, Universities, etc.)• System automation manufacturer firms","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
219,Bachelor of Engineering (Electrical - Mechatronics),https://engineering.utm.my/electrical/undergraduate/bachelor-of-engineering-electrical-mechatronics-skem/," Bachelor of Engineering (Electrical-Mechatronics) is a program with honours that has been established and offered for more than two decades by UTM. The program is a four-year program completed with one year final year project. Mechatronic Engineering is an engineering field which combines engineering fields such as Electronic, Electric, Mechanical, Control, Software, Computer and Information Technology. The curriculum for the Bachelor of Engineering (Electrical-Mechatronics) program is almost similar to the curriculum for the Bachelor of Engineering (Electrical) program for the first two years of the program. Electrical Engineering fundamentals are stressed. Subjects on Introduction to Electrical Engineering, Programming Techniques, Circuit Theory, Circuit and Systems, Electronic Devices and Digital Electronic are offered besides reinforcement in Mathematical subjects. However, mechatronic engineering students are also required to take engineering Drawing and Engineering Mechanics. Student must pass all courses specified for his/her program of study and fulfill all the requirements specified for his/her program of study set by the Faculty and University in order to be awarded with the Bachelor degree.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
220,Bachelor of Mechanical Engineering with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-mechanical/,"The career of a Mechanical Engineer involves the efficient application of physical and human resources in improving the standard of living. A Mechanical Engineer combines the basic knowledge of physical sciences and engineering education with experience and expertise to invent, run, and maintain mechanical equipments and systems in industries. A Mechanical Engineer also designs machine components for the production system of a particular product.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
221,Bachelor of Mechanical Engineering (Materials) with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-mechanical-materials/,"The career of a Materials Engineer calls for an individual with a deep understanding of the basic knowledge in science and engineering of materials and able to relate the characteristics, structure, properties, processing and performance of materials in accordance with their use and demand and in conformance with the development in technology. In fact, a Materiasl Engineer is directly involved in the aspect of material selection, quality control, component failure analysis and Research and Development (R&D) in new materials.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
222,Bachelor of Mechanical Engineering (Industrial) with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-mechanical-industrial/,"Technology and all other resources need to be handled in an integrated and efficient manner either to produce a product or a service. Industrial Engineering concentrates on assembly activities and those of improving the performance of an integrated system involving man, material and machine. This activity requires specific knowledge and expertise in physical, engineering and social sciences together with principles and methods of engineering analysis and design to specify, predict and evaluate results that can be obtained from a system.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
223,Bachelor of Mechanical Engineering (Aeronautics) with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-mechanical-aeronautics/,"The Aeronautical Engineering course was first offered by UTM during the 1980/81 session and was jointly run by UTM and TUDM. Its objective was to fulfill the need for skilled and semi-skilled human resources in the aeronautical field especially in the public sector. TUDM required human resources to operate, maintain, repair, oversee and manage different types of aircraft and UTM had the capability to produce graduates in this field. This need has continued to increase with the development in the airline industry in Malaysia which demands for more trained manpower especially engineers and technical assistants.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
224,Bachelor of Mechanical Engineering (Automotive) with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-automotive/,"The Automotive Engineering course was first offered by UTM during the 1999/2000 session. The Automotive course is offered as a specialisation of Mechanical Engineering, covering the areas of automotive design, vehicle dynamic and structure, power and transmission (power train), vehicle aerodynamic, electronics, ergonomics, automotive material and production. Hence, graduates of this course would fulfill the need for engineers in the field of Mechanical Engineering as well as the automotive field specialisation.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
225,Bachelor of Mechanical Engineering (Manufacturing) with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-engineering-mechanical-manufacturing/,The course is designed to fulfill the need of the manufacturing sector in Malaysia which has grown continuously since more than 20 years ago. The country then was experiencing a transition from an agriculture economic based on to manufacturing and thus consistently require manufacturing engineers. The Faculty of Mechanical Engineering has contributed immensely towards producing and the development of manufacturing engineers capable of satisfying the need of the manufacturing industry.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
226,Bachelor of Naval Architecture & Offshore Engineering with Honours,http://engineering.utm.my/mechanical/undergraduate/academic-programme/bachelor-of-naval-architecture-offshore-eengineering/, The Bachelor of Engineering (Naval Architecture and Offshore Engineering) degree program is designed to meet the engineering needs of the maritime and offshore industries by providing specialized knowledge required by these industries. The program integrates the relevant fields of naval architecture and other mechanical engineering disciplines with a special emphasis on offshore engineering.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
227,Bachelor of Technology with Education (Building Construction) with Honours,http://www.fp.utm.my/academic/BPA201819/sppq/index.htm,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
228,Bachelor of Technology with Education (Electric & Electronic) with Honours,http://www.fp.utm.my/academic/BPA201819/sppr/index.htm,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
229,Bachelor of Technology with Education (Mechanical Engineering) with Honours,http://www.fp.utm.my/academic/BPA201819/sppj/index.htm,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
230,Bachelor of Education (Teaching English as a Second Language) with Honours),http://www.fp.utm.my/academic/BPA201819/sppl/index.htm,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
231,Bachelor of Science with Education (Sports Science) with Honours,http://www.fp.utm.my/academic/BPA201819/spps/index.htm,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
232,Bachelor of Science (Human Resource Development) with Honours,https://humanities.utm.my/sharps/bachelor-of-science-human-resource-development/,"Programme Educational Objectives<br/>
(i) To produce graduates who are competent in the areas of human resources.<br/>
(ii) To produce graduates who are competent as HRD practitioners.<br/>
(iii) To produce graduates who have the potential to become the managers or leaders in the organization.<br/>
(iv) To produce graduates who are competent communicators and negotiators across different cultures and audiences in the organization.<br/>
(v) To produce graduates who have the potential to become the change agents in the organization by responding and adapting to changing environments.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
233,Bachelor of Psychology with Human Resource Development with Honours,https://humanities.utm.my/sharps/bachelor-of-psychology-with-human-resource-development/,"Programme Educational Objectives (PEO)<br/>

Become a psychology officer or professional with a broad knowledge of the fundamental principles in psychology and human resource development with the abilities to manage human problems within individual, organizational and societal contexts.<br/>
Demonstrate the abilities to communicate and work in teams effectively.<br/>
Demonstrate high standard of ethical conduct and societal responsibilities in managing human problems within individual, organizational and societal contexts.<br/>
Undertake life-long learning and can adapt to the changing environments.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11080,Universiti Teknologi Malaysia (UTM),
234,Bachelor of Science in Architecture with Honours,http://builtsurvey.utm.my/academic/architecture/,"Architecture is the art and science of building. It’s activities encompass the design, development and planning of the built environment as well as managing the construction process. Architects play the key role in creating buildings and habitats that serve as integrated solutions to issues and contexts as diverse as design, research, practice, construction, socio-culture, human behaviour, history, and the environment. An architect’s design could extend from working places and simple individual living, to communal and urban living of the society. Such role demands highly professional and ethical individuals in creating better built environment. The Bachelor of Science in Architecture programme at UTM is designed to produce individuals that can fulfil this role.
The Bachelor of Science in Architecture Programme is a professional degree that is equivalent to the professional qualification of the Board of Architects Malaysia Part I, which is the first part of a two tier architecture programme. The programme emphasise on architectural design skill based studio projects and the complementary courses. Competent skills and knowledge addressed with the programme, contribute to the development of architecture within the National framework, for sustainable development.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,3,9510,Universiti Teknologi Malaysia (UTM),
235,Bachelor of Quantity Surveying with Honours,http://builtsurvey.utm.my/academics/undergraduate/quantity-surveying/,"Project development is an investment that involves considerable sum of money and time. Clients will expect their project to generate values from their investment. They also expect value for money from their projects which involve the element of time, cost and quality. These objectives can be achieved through technical knowledge and professional competency, economics evaluation, effective cost management and selection of appropriate construction procurement with efficient and effective contract management. The role of quantity surveyors through their education, training and experience will contribute to the effective management of construction cost, project procurement and contract administration as well as giving advice on development economics and contractual matters.
The programme has been designed to offer graduates the opportunity to operate within the existing framework of the Quantity Surveying discipline, the construction industry and related fields. At a personal level, the graduate will be stimulated to adopt a professional and ethical approach that will allow personal development, foster self-respect and improve career aspirations.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12280,Universiti Teknologi Malaysia (UTM),
236,Bachelor of Science in Construction with Honours,http://builtsurvey.utm.my/academics/undergraduate/construction/,"Modern construction projects are known for their complexity in design and speed of execution. They require significant utilization of resources such as materials, manpower, equipment and finance. Most of the projects are performed under conditions of scarcity of resources and suffers from uncertainty in their supply. Work delays will result in increasing costs since there is an intricate time-cost relationship for every project. The need for proper planning and management of construction can never be over-emphasised.<br/>
The Bachelor of Science in Construction curriculum is designed to provide a solid academic base and professional expertise in the discipline of construction management, and to critically address the present and evolving needs of the construction industry. In order to perform successfully in the construction industry, students must develop an understanding of the technical aspects of construction while applying construction management practices and tools to maintain control and provide informed, optimal decisions. The programme focuses on the understanding of construction technology, construction management and production management processes. The programme also addresses the generic skills and capabilities necessary to compete in the employment market.<br/>
The programme addresses a combination of engineering technology, construction techniques and management. It is designed to prepare graduates for managerial positions in the construction industry. At a personal level, the programme will inculcate professional and ethical approach that will foster the graduates’ personal development, self-respect and career aspirations.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
237,Bachelor of Urban and Regional Planning with Honours,http://builtsurvey.utm.my/academic/undergraduate/urban-regional-planning/,"The profession of urban and regional planning is concerned with the planning, designing and managing of the built environment. It is interdisciplinary in nature and integrates both the art and science of creating a better quality of life in a sustainable environment. At the local level the profession deals with the planning and designing of neighbourhoods, towns and cities. In contrast, the profession focuses on strategic and structural planning at the regional and national level. The profession seeks to balance between society and environment by managing developments through policies, strategies and plans.
The Urban and Regional Planning programme emphasises technical, strategic and generic skills demanded of planners. Students are instilled with knowledge on principles of planning, creativity in designing and problem solving, analytical and strategic thinking, as well as competency in research and practice.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11080,Universiti Teknologi Malaysia (UTM),
238,Bachelor of Landscape Architecture with Honours,http://builtsurvey.utm.my/academic/landscape-architecture/,"The programme was designed and implemented since 1993 which was inspired on the core understanding of Man as the steward of the Earth and based on the design and built philosophy. It aims to produce professionals who are competent and technically knowledgeable as well as being critical and creative in problem solving on issues pertaining to aspects of heritage, tropical, urban and natural resources.<br/>
Landscape architecture combines both art and science. It is a profession that involves the design, planning and management or exterior spaces through the use of land and water elements in creating outdoor spaces which are practical and aesthetically pleasant. The works of a landscape architect does not only add value but also provide comfortable outdoor environment in residential areas, work and playing spaces. Landscape architecture is a discipline that covers a diverse scope ranging from the design of exterior landscapes within urban, rural, communal, ecological and regional areas. Landscape architects serve not only as designers but help to create landscape that responds to human habitation in diverse cultural and ecological contexts.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11080,Universiti Teknologi Malaysia (UTM),
239,Bachelor of Geomatics Engineering with Honours,http://builtsurvey.utm.my/academic/bachelor-of-engineering-geomatic/,The university has not updated this information during the data collection process.<br/>Please refer to the latest updates on the university's website.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,12400,Universiti Teknologi Malaysia (UTM),
240,Bachelor of Science Geoinformatics with Honours,http://builtsurvey.utm.my/academic/bachelor-of-science-geoinformatics/,"Geoinformatics is the art and science of gathering, processing, manipulating, managing, disseminating and applying geospatial data. The B.Sc. (Geoinformatics) programme is intended to produce professionals who are capable of using information technology (IT) to handle geospatial information for the economic, social and physical development of the country. Since its inception, as many as 556 graduates had successfully completed this programme.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
241,Bachelor of Science in Land Administration and Development with Honours,http://builtsurvey.utm.my/academic/bachelor-of-science-land-administration-development/,"Bachelor of Science in Land Administration and Development is designed to produce graduates who are competent and knowledgeable in land matters to manage the challenges of land administration system in the 21st century. It is the intention of this programme to make land administration as one of the profession that could enhance the land delivery system of the nation. The sub-disciplines covered in the programme include : • Property Development • Property Valuation • Property Marketing • Property Investment • Property Economies Graduates are currently employed in public and private sectors. They are also capable to establish their own practice offering services to clients of diverse backgrounds, relating to land administration, management and development. The syllabus of the programme has been designed to include subjects ranging from law, policy, planning, economics, surveying, valuation, and land development to subjects on technical matters such as land information system including Geographic Information System (GIS), and the institutional set up of the Malaysian Land Administration System.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
242,Bachelor of Property Management with Honours,http://builtsurvey.utm.my/academic/bachelor-of-property-management/,The property management degree programme run by the department is the rst real estate degree programme in the country. The programme is mainly designed to meet the different real estate professional needs in the region. From time to time changes were made to the programme to re ect the changing needs of the industry.The competitiveness of the real estate industry across the region has affected practitioner’s expectation of graduates in the eld. The changing trend in the industry from purely knowledge based professionals to one with knowledge and human skills have change the way real estate professionals are trained. Currently the outcome based education (OBE) is being practiced here to ensure that the objectives of the programs are attained.,"UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11080,Universiti Teknologi Malaysia (UTM),
243,Bachelor of Science (Biology) with Honours,https://science.utm.my/undergraduate/b-sc-biology/,"Graduates from this programme have found empployment in private and government sectors research institutes as well as various other position among which are academicians, microbiologist, product specialist, research officer, clinical coordinator, project manager, environmental officer and postdoctoral researcher. Our graduates also have opted to pursue MSc or PhD degrees locally or abroad in advanced field of bioscience such as cell signalling, cancer and stem cell research, protein chemistry, genomics, proteomics and structural biology","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
244,Bachelor of Science (Chemistry) with Honours,https://science.utm.my/undergraduate/b-sc-in-chemistry/,"The objectives of the Bachelor of Science in Chemistry are to provide the knowledge, skills, and attributes that should be achieved by the graduates for a successful career. The graduate should be able to:<br/>

Become chemists who are competent, innovative and productive in addressing chemistry issues in chemical related industries.<br/>
Develop professionally with proficient soft skills to adapt to a range of contacts and audiences.<br/>
Demonstrate high standard of ethics, pure values and social responsibilities.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
245,Bachelor of Science (Mathematics) with Honours,https://science.utm.my/undergraduate/b-sc-in-mathematics/,"Graduates of this programme can work as<br/>

Academicians and researchers in institutions of higher learning.<br/>
Researchers at R&D departments in government-linked companies (GLC) or multinationals.<br/>
Financial executives in financial institutions.<br/>
Administrative officers in government establishments or private sectors.<br/>
Sales and marketing executives.","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
246,Bachelor of Science (Physics) with Honours,https://science.utm.my/undergraduate/b-sc-in-physics/,"Graduates of the program will be able to pursue careers in the following:<br/>

Academics – Higher learning institutions (following pursuance of their degree qualifications to Masters of PhD levels)<br/>
Research Officers – Research Institutes, higher learning institutions and Industries<br/>
Science Officers – Research Institutes, higher learning institutions and Industries<br/>
Physics Teachers – Schools and colleges<br/>
Quality Control/Assurance and Marketing Officers – Agencies and Industries","UNIVERSITI TEKNOLOGI MALAYSIA, 81310 Skudai, Johor Bahru, Johor, Malaysia.",Phone : +6 03-2615 4100<br/>Email : corporate.kl@utm.my<br/>https://kl.utm.my/,4,11960,Universiti Teknologi Malaysia (UTM),
