"","UMS","Link","Introduction","Address","Contact","Duration","Fee"
"23","BACHELOR OF FOOD SCIENCE WITH HONOURS (FOOD TECHNOLOGY AND BIOPROCESSING)","https://www.ums.edu.my/fsmp/index.php/en/program/undergraduate/food-technology-and-bioprocessing","This programme provides exposure in the application of technology in food processing in terms of production, storage and packaging, biotechnology, microbiology and other related aspects in unit operation and engineering of food processing. This programme also requires students to undergo industrial training to understand better and implement the acquired knowledge and to adapt to the working culture. This programme is planned for students to obtain knowledge in the field of food technology and food bioprocessing. Graduates from this programme can be employed in the food industries, either in the private, government or semi government, education and research sectors.","FACULTY OF FOOD SCIENCE AND NUTRITION, UNIVERSITI MALAYSIA SABAH, JALAN UMS, 88400 KOTA KINABALU SABAH, MALAYSIA","Contact No: (+06) 088 - 320000 ext: 210 900 (General Office); 210 902 (Secretary Office)","8 semester","-"
"17","BACHELOR IN ISLAMIC STUDIES WITH HONOUR","https://www.ums.edu.my/fis/","Fakulti Pengajian Islam telah diluluskan oleh Senat UMS pada
mesyuarat ke-182 Bil 1:2021 pada 21 Februari 2021.
Mesyuarat Lembaga UMS kali ke-98 Bil: 3/2021 pada 23 Mac 2021
telah meluluskan penubuhan Fakulti Pengajian Islam.
O Jabatan Pengajian Tinggi,Kementerian Pengajian Tinggi bertarikh 10
Mei 2021 telah memperakukan penubuhan Fakulti Pengajian Islam.","Fakulti Pengajian Islam ( FIS )

Blok A, Aras 4 Bangunan FKJ ( Pejabat Sementara )

Universiti Malaysia Sabah, Jalan UMS

88400 Kota Kinabalu, Sabah"," Tel : +0088-320000 ext : 100658 , Fax : +6088 - 320268

E-mail : pejfis@ums.edu.my","-","-"
"18","DOCTOR OF MEDICINE","https://www.ums.edu.my/fpsk/en/academic/academic/undergraduate/doctor-of-medicine","School of Medicine was established in the year 2003 to produce graduate doctors and graduates in health sciences to cater to the professional human resource needs and health experts in Malaysia and BIMP-EAGA area. It was changed to Faculty of Medicine and Health Sciences in the Year 2014.","Faculty of Medicine and Health Sciences UMS,        Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia.","(60) 88 320 000","The duration of the undergraduate Medical programme is five (5) to seven (7) years.In the 3 - 5 Year, students are given minimal lectures and go through rotational clinical postings. They are expected to change their learning mode to an apprenticeship or internship type model where most of learning is achieved by seeing patients in different context and setting.","-"
"34","BACHELOR OF SOCIAL WORK WITH HONOURS","https://www.ums.edu.my/fpp/en/program/undergraduate/social-work","The program is designed to prepare students for generic social work practice. In keeping with the generic focus, students are provided with a common body of social work knowledge and skills that is transferable among human services settings, population group and areas. Students have the opportunity to practice actual social work in agency setting through practical training. The aim is to expose them to their practice interests and develop skills in integrating and applying knowledge and theory acquired in academics courses to actual social work situations. The Social Work Program will empower students with strong social work ethics and values, relevant theoretical foundation, and strong practice skills to promote the optimal social functioning of individuals, families, groups, and communities. Student will have preventive and social work knowledge and expertise necessary for building and maintenance of a progressively equitable social environment favorable to all people regardless of race, gender, age, ethnic or national origin disability, political orientation, or sexual orientation.","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","6 semester","-"
"71","BACHELOR OF EARLY CHILDHOOD EDUCATION WITH HONOURS","https://www.ums.edu.my/fpp/en/program/undergraduate/pendidikan-awal-kanak-kanak","DEVELOPING HUMAN CAPITAL BEGINS WITH CHILDREN
Going forward, teachers and administrators in early childhood education play a critical role in shaping the future of our citizenry. Thus, the programme strives to develop the capacities and competence of early childhood education undergraduates to enhance the quality and standard of early childhood education in Malaysia resulting in greater innovation and productivity for the benefit of society and the nation. ","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","8 semester","-"
"53","BACHELOR OF EDUCATION WITH HONOURS (EDUCATION WITH TESL)","https://www.ums.edu.my/fpp/en/program/undergraduate/education-with-teaching-english-as-a-second-language-tesl","This program trains English Language pre-service/in-service teachers for secondary level education. Intake is open to STPM leavers, Matriculation or similar qualification and non-graduate teachers undergoing the Teachers’ Graduate Programmed or Program Pensiswazahan Guru (PPG).","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","8 semester","-"
"62","BACHELOR OF PSYCHOLOGY WITH HONOURS (YOUTH AND COMMUNITY DEVELOPMENT)","https://www.ums.edu.my/fpp/en/program/undergraduate/youth-and-community-development","This program traces youth development from cognitive, linguistic, social, affective, and moral aspect through various theoretical orientations. Research result will be utilized to show the implications of development process on youth problems in the context of community development. This program discusses planning, implementation, follow-up and monitoring of youth and community programs. Student will also receive practical training in community services at rehabilitation institutions to produce well-informed and experiences graduates in the field of community development. Training are conducted with the co-operation of government and non-government agencies such Department of Social Services, Department of National Unity, NGOs and other related agencies.     ","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","6 semester","-"
"44","BACHELOR OF PSYCHOLOGY WITH HONOURS (INDUSTRIAL AND ORGANISATIONAL PSYCHOLOGY)","https://www.ums.edu.my/fpp/en/program/undergraduate/industrial-and-organizational-psychology","This program introduce student to the field of industrial and organizational psychology and problem related to organizational behavior. The focus will be on job stratification and stress, group dynamics, interpersonal communication, employee problems, leadership and power influence, prejudice and organizational discrimination as well as design and organization development.","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","6 semester","-"
"81","BACHELOR OF PSYCHOLOGY WITH HONOURS (CHILD AND FAMILY PSYCHOLOGY)","https://www.ums.edu.my/fpp/en/program/undergraduate/child-and-family-psychology","The program in Child and Family Studies is designed to educate and to equip individual to be professional in dealing with children, parents and families in public and private settings. Children should be studied in the context of their family and community, thus the study of roles of families in the development of child’s emotional, social, cognitive, and personality is imperative. This program represents the efforts of the university and the faculty to enhance collaboration with the community and to respond to the needs of society for professionals to work with children and their family within the community. ","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","6 semester","-"
"24","BACHELOR OF PSYCHOLOGY WITH HONOURS (COUNSELLING PSYCHOLOGY)","https://www.ums.edu.my/fpp/en/program/undergraduate/counselling-psychology","This program trains students to be knowledgeable and skilled in the field of counselling. Required courses are philosophy of guidance and counseling, ethics I helping professionals, theories in counselling and psychotherapy, counselling in organization, career development theories, abnormal psychology, group counselling and psychotherapy, pre-practicum class, family counseling or therapy and practicum/internship. The program is generic in nature and does not confined to any particular theory and approach. Students will also learn case management skills, client assessment, report writing, counseling skills, procedures and strategies in handling client’s career, personal and social matters.This program is a professional preparation for counsellor registration as required in Counsellor Act 1998 (Act 580). Graduates of this program are eligible for registration as registered counsellors.","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","8 semester","-"
"19","BACHELOR OF SPORTS SCIENCE WITH HONOURS","https://www.ums.edu.my/fpp/en/program/undergraduate/sport-science","This program aims to develop individuals trained in the field of Sport Science. The two specializations are Sports Management and Coaching. Intake is open to STPM leavers, Matriculation or similar qualification and non-graduate college teachers.","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","6 semester","-"
"91","BACHELOR OF EDUCATION WITH HONOURS(HISTORY)","https://www.ums.edu.my/fpp/en/program/undergraduate/academic-staff-ht17","This program trains Social Science pre-service/in-service teachers for secondary level education. Intake is open to STPM leavers, Matriculation or similar qualification and non-graduate college teachers. The aim of the program is to develop professional teachers with a Degree in Education in the following courses, Major:    History, Geography and Minor:   Geography, History.","Faculty of Psychology and Education, 88400 Kota Kinabalu, Sabah","FOR FURTHER INQUIRES, PLEASE CONTACT US:ADMINISTRATION OFFICE BLOCK OF PSYCHOLOGYTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320101ADMINISTRATION OFFICE BLOCK OF EDUCATIONTel : +6088 - 320000, Ext : 100658Fax : +6088 - 320268E-mail : This email address is being protected from spambots. You need JavaScript enabled to view it.
				document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addyf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;';
				addyf1c501414a4fc1d2d3fa2e7e0f6932ae = addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';
				var addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae = 'p&#101;jfpp' + '&#64;' + '&#117;ms' + '&#46;' + '&#101;d&#117;' + '&#46;' + 'my';document.getElementById('cloakf1c501414a4fc1d2d3fa2e7e0f6932ae').innerHTML += '<a ' + path + '\'' + prefix + ':' + addyf1c501414a4fc1d2d3fa2e7e0f6932ae + '\'>'+addy_textf1c501414a4fc1d2d3fa2e7e0f6932ae+'<\/a>';
		","8 semester","-"
"110","BACHELOR OF SCIENCE WITH HONOURS (AQUACULTURE)","-","-","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"25","BACHELOR OF SCIENCE WITH HONOURS (BIOTECHNOLOGY)","https://www.ums.edu.my/fssa/biotechnology/","Biotechnology Program prepares students to be highly competitive in industries, government, graduate school or entrepreneurship by providing theory, knowledge and skills in Science and Technology.","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"35","BACHELOR OF SCIENCE WITH HONORS (INDUSTRIAL PHYSICS)","https://www.ums.edu.my/fssa/industrialphysics/","Industrial Physics Program prepares students to be highly competitive in industries, government, graduate school or entrepreneurship by providing theory, knowledge and skills in Science and Technology.","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"45","BACHELOR OF SCIENCE WITH HONOURS (GEOLOGY)","https://www.ums.edu.my/fssa/geology/","The geology programme was framed to provide founding knowledge about the earth and the processes involved within and on the earth’s surface. Earth’s natural resources such as petroleum, gas, minerals and construction material as well as basic geological principles will be explained through classroom learning and a series of fieldwork made around Sabah. Industrial training held at the final semester is hoped to be benefited by students attending this course.","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"54","BACHELOR OF SCIENCE WITH HONOURS (INDUSTRIAL CHEMISTRY)","https://www.ums.edu.my/fssa/chemistry/","This programme aims to produce graduates who can contribute to agencies that require the knowledge of chemistry, such as chemical industries and government institutions. Emphasis is given to the application of chemistry in industries, which includes material resources, instrumentation and analysis, chemical processes, technology and the environment. Fundamental knowledge in physical, organic, inorganic and analytical chemistry is strengthened. The programme provides the students with relevant skills via hands-on laboratory practical courses and final year research projects. Relevant elective courses will be offered to enrich the knowledge of the students in fields closely related to the chemical industries. At the end of the programme, students are exposed to the industrial environment via industrial internships and industrial visits to selected chemical-based industries to compliment and apply their theoretical chemistry concepts in real world situations.","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"63","BACHELOR OF SCIENCE WITH HONOURS (MATHEMATICS WITH ECONOMICS)","https://www.ums.edu.my/fssa/mathematics-with-economics-hs08/","This programme provides a background in mathematics and combines the relationship between mathematics and economics including microeconomics, macroeconomics, financial management and econometrics. Students will develop and demonstrate the ability to reason mathematically by constructing mathematical proof, recognizing and analyzing accurate numerical data in mathematics core course. Students will be able to apply suitable mathematical analysis to develop a solution not only in economics but in other disciplines as well, such as biology, physics, engineering, environmental and marine science. Graduates with a strong mathematical background with an understanding in economics concepts are able to benefit from a wide range of career opportunities. They are also qualified to pursue their study on MSc and PhD programmes in mathematics with economics.","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"72","BACHELOR OF SCIENCE WITH HONOURS (MATHEMATICS WITH COMPUTER GRAPHICS)","https://www.ums.edu.my/fssa/mcg/","
				This program is offered to nurture highly skilled graduates in developing computer graphics application such as scientific visualization application, virtual reality, animation, computer games, and mathematical software. The utmost strength of this program lies in the combination of three specialized knowledge, Mathematics as the core, Computer Science and Computer Graphics to vendor the knowledge and skills in the field of mathematics into the virtual world application.
The aim of mathematics with computer graphics program is mainly to produce competitive and creative graduates to fulfil demands of the skills in various industries and sector. 					","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"82","BACHELOR OF SCIENCE WITH HONOURS (MARINE SCIENCE)","-","-","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"92","BACHELOR OF SCIENCE WITH HONOURS (ENVIRONMENTAL SCIENCE)","https://www.ums.edu.my/fssa/environmentalscience/","
				Environmental Science Program prepares students to be highly competitive in industries, government, graduate school or entrepreneurship by providing theory, knowledge and skills in Science and Technology.The curriculum is designed to produce environmental scientist with a strong fundamental knowledge and skills in physical sciences that have the ability to think, analyze, and apply to support the development of human capital both in science and industry, thus recognized globally.  					","Faculty of Science and Natural Resources, Universiti Malaysia Sabah,88400 Kota Kinabalu,Sabah, MALAYSIA","Tel : +6088 320000 Ext 5872Fax: +6088 435425 Email: pejfssa[at]ums.edu.my ","-","-"
"55","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (GEOGRAPHY)","https://www.ums.edu.my/fssk/en/programme/undergraduate/geography-programme","The program offers courses related to Geography education including physical geography, human geography, urban geography, economic geography, environment and population settlements, land use planning and management, and cartography and graphic. The program also emphasizes the development of the use of advanced technology that combines all geographical areas through all geographic areas through Geographic Information System (GIS) and remote sensing which uses computer technology, GIS and Satellite Image.,Career prospects
Officer / Assistant Researcher, Consultant, Information Systems Analyst, Trainer, Urban Planning Officer, Meteorological Officer., ","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
"46","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (INTERNATIONAL RELATIONS)","https://www.ums.edu.my/fssk/","","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
"26","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (INDUSTRIAL RELATIONS)","https://www.ums.edu.my/fssk/en/programme/undergraduate/industrial-relations-programme","The program introduces students to the relationship between employers, employees, unions and government-based approach to interpersonal relations and interorganisasi work. Students will follow courses that emphasize the multi-disciplines such as labor legislation, labor history of industrial sociology, industrial democracy, the study of industrial relations, economic and political, safety and health, labor structure, transnational corporations, international human resource management and employment relations in the formal and informal sectors. The program will also touch on the issue of trade union issues and dispute resolution in the industry.,Career prospects
Industrial relations officer, human resources officer, administrative officer, instructor.","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
"111","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (COMMUNICATIONS)","https://www.ums.edu.my/fssk/en/programme/undergraduate/communication-programme","The program offers a theoretical study of communication patterns, emperitikal and professional. The courses emphasize the pattern and practice of media in terms of production, representation and reception. Students are exposed to various genres and media products and were encouraged to analyze discourse and narrative media critically. Students are also introduced to issues related to police and control media, new media and media globalization and its impact, culturally, politically and economically to society. The program offers specialization in broadcasting, journalism, public relations, and advertising and equip students with skills in writing and publishing professionals as well as critical thinking skills.Career Prospects
Lecturers, Campaign Director, Corporate Communications, Public Relations Officer, Journalist, Journalist Broadcasting, Writer, News Reader, Radio Presenter, Producer Radio and Television, Advertising Executive.","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
